Coach_Name,Total_Athletes,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Medals
BERG Laura,38,147069,154611,124443,426123
DOBSON Howard,38,147069,154611,124443,426123
ERIKSEN Ken,38,147069,154611,124443,426123
FLOWERS Tairia,38,147069,154611,124443,426123
TARR Heather,38,147069,154611,124443,426123
WEINSTEIN Jerry,38,147069,154611,124443,426123
WRIGHT Jerold,23,87945,92455,74415,254815
UDOKA Ime,23,87945,92455,74415,254815
van GUNDY Jeff,23,87945,92455,74415,254815
STALEY Dawn,23,87945,92455,74415,254815
POPOVICH Gregg,23,87945,92455,74415,254815
ENGELLAND Chip,23,87945,92455,74415,254815
HARDY William,23,87945,92455,74415,254815
HUGHES Daniel,23,87945,92455,74415,254815
JOHNSON Vickie,23,87945,92455,74415,254815
FRIDAY Mike,24,87906,92414,74382,254702
BROWN Chris,24,87906,92414,74382,254702
KRIKORIAN Adam,25,86229,90651,72963,249843
UDOVICIC Dejan,25,86229,90651,72963,249843
SPERAW John,22,81042,85198,68574,234814
WALL Michael,22,81042,85198,68574,234814
KIRALY Karch,22,81042,85198,68574,234814
FUERBRINGER Matthew,22,81042,85198,68574,234814
ENQUIST Susan,22,81042,85198,68574,234814
KAWASE Asaki,42,98253,50946,61863,211062
KAZAMA Takafumi,42,98253,50946,61863,211062
HIROSE Norikazu,42,98253,50946,61863,211062
MATSUODANI Yasushi,42,98253,50946,61863,211062
MORIYASU Hajime,42,98253,50946,61863,211062
TAKAKURA Asako,42,98253,50946,61863,211062
KERRY Danny,34,71434,68187,71434,211055
HAGER Mark,34,71434,68187,71434,211055
ANDONOVSKI Vlatko,20,69420,72980,58740,201140
HARVEY Laura,20,69420,72980,58740,201140
MAYBURY Elena,20,69420,72980,58740,201140
KANEKO Makoto,37,91206,47292,57426,195924
CASAREZ Mary Lucy,37,91206,47292,57426,195924
UTSUGI Reika,37,91206,47292,57426,195924
YAMAJI Noriko,37,91206,47292,57426,195924
ARNOLD Graham,43,69275,28525,89650,187450
GUSTAVSSON Tony,43,69275,28525,89650,187450
IWABUCHI Kensuke,32,77193,40026,48603,165822
MAKIRI Hare,32,77193,40026,48603,165822
NISHIDA Takumi,32,77193,40026,48603,165822
MIURA Keiko,32,77166,40012,48586,165764
ARNAU CREUS Xavier,32,77166,40012,48586,165764
AIKMAN Siegfried Gottlieb,32,77166,40012,48586,165764
JIA Xiuquan,20,67298,56672,31878,155848
JENNINGS Dee,35,56712,23352,73392,153456
BATCH Colin,35,56712,23352,73392,153456
DAVY Jeremy,35,56712,23352,73392,153456
STANIFORTH Dave,35,56712,23352,73392,153456
POTTER Anthony,35,56712,23352,73392,153456
POWELL Katrina,35,56712,23352,73392,153456
ROQUES Anthony,23,48664,46452,48664,143780
FORREST Scott,23,48664,46452,48664,143780
KIRKELY Ulrik,28,66609,34538,41939,143086
KITABAYASHI Kenji,28,66609,34538,41939,143086
SIGURDSSON Dagur,28,66609,34538,41939,143086
WANG Yang,17,60914,51296,28854,141064
YURKIN Sergey,22,39060,54684,44919,138663
SAMMELVUO Tuomas,22,39060,54684,44919,138663
KONSTANTINOV Aleksei,22,39060,54684,44919,138663
BUSATO Sergio,22,39060,54684,44919,138663
BARYLA Pawel,22,39060,54684,44919,138663
RIISE Hege,21,42812,40866,42812,126490
MOTOMIYA Makihiro,23,57294,29708,36074,123076
OMOTO Yoji,23,57294,29708,36074,123076
WANG Jie,8,52592,44288,24912,121792
MAEDA Kenzo,23,56133,29106,35343,120582
MATSUNO Yoshiyuki,23,56133,29106,35343,120582
LAMAS Julio,23,56133,29106,35343,120582
HOVASSE Thomas Wayne,23,56133,29106,35343,120582
ABE Katsuhiko,23,56133,29106,35343,120582
ANNAN Alyson,33,32060,38472,44884,115416
CALDAS Max,33,32060,38472,44884,115416
de VOS Robbert-Jan,33,32060,38472,44884,115416
HALKETT Rhett,33,32060,38472,44884,115416
ZIJP Simon,33,32060,38472,44884,115416
NAGAE Shoji,22,52596,27272,33116,112984
NAKADA Kumi,22,52596,27272,33116,112984
NAKAGAICHI Yuichi,22,52596,27272,33116,112984
AGEBA Yuya,22,52596,27272,33116,112984
ABE Junya,22,52596,27272,33116,112984
FATOVIC Elvis,25,40528,16688,52448,109664
MIHAILOVIC Predrag,25,40528,16688,52448,109664
HENKEL Claas,33,29450,32395,47120,108965
KELLER Florian,33,29450,32395,47120,108965
AL SAADI Kais,33,29450,32395,47120,108965
RECKINGER Xavier,33,29450,32395,47120,108965
