Coach_Name,Team_Name,Team_Discipline,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Medals
WANG Jie,China,Artistic Swimming,152,128,72,352
WEINSTEIN Jerry,United States,Baseball/Softball,78,82,66,226
WRIGHT Jerold,United States,Basketball,78,82,66,226
WALL Michael,United States,Volleyball,78,82,66,226
TARR Heather,United States,Baseball/Softball,78,82,66,226
UDOKA Ime,United States,Basketball,78,82,66,226
UDOVICIC Dejan,United States,Water Polo,78,82,66,226
van GUNDY Jeff,United States,Basketball,78,82,66,226
SPERAW John,United States,Volleyball,78,82,66,226
STALEY Dawn,United States,Basketball,78,82,66,226
BERG Laura,United States,Baseball/Softball,78,82,66,226
BROWN Chris,United States,Rugby Sevens,78,82,66,226
DOBSON Howard,United States,Baseball/Softball,78,82,66,226
ENGELLAND Chip,United States,Basketball,78,82,66,226
ENQUIST Susan,United States,Volleyball,78,82,66,226
ERIKSEN Ken,United States,Baseball/Softball,78,82,66,226
FLOWERS Tairia,United States,Baseball/Softball,78,82,66,226
FRIDAY Mike,United States,Rugby Sevens,78,82,66,226
FUERBRINGER Matthew,United States,Volleyball,78,82,66,226
HARDY William,United States,Basketball,78,82,66,226
HUGHES Daniel,United States,Basketball,78,82,66,226
JOHNSON Vickie,United States,Basketball,78,82,66,226
KIRALY Karch,United States,Volleyball,78,82,66,226
KRIKORIAN Adam,United States,Water Polo,78,82,66,226
POPOVICH Gregg,United States,Basketball,78,82,66,226
MONTICO Loredana,Australia,Artistic Swimming,68,28,88,184
ZHANG Xiaohuan,China,Artistic Swimming,76,64,36,176
GIALLOMBARDO Patrizia,Italy,Artistic Swimming,40,40,80,160
FARINELLI Roberta,Italy,Artistic Swimming,40,40,80,160
GRYZUNOVA Elena,ROC,Artistic Swimming,40,56,46,142
BUSATO Sergio,ROC,Volleyball,40,56,46,142
DANCHENKO Tatiana,ROC,Artistic Swimming,40,56,46,142
BARYLA Pawel,ROC,Volleyball,40,56,46,142
PISKAREVA Ekaterina,ROC,Artistic Swimming,40,56,46,142
KONSTANTINOV Aleksei,ROC,Volleyball,40,56,46,142
YURKIN Sergey,ROC,Volleyball,40,56,46,142
SAMMELVUO Tuomas,ROC,Volleyball,40,56,46,142
VORONOVA Elena,ROC,Artistic Swimming,40,56,46,142
ROQUES Anthony,Great Britain,Rugby Sevens,44,42,44,130
KERRY Danny,Great Britain,Hockey,44,42,44,130
HAGER Mark,Great Britain,Hockey,44,42,44,130
FORREST Scott,Great Britain,Rugby Sevens,44,42,44,130
EITOKU Atsushi,Japan,Artistic Swimming,54,28,34,116
AGEBA Yuya,Japan,Volleyball,54,28,34,116
AIKMAN Siegfried Gottlieb,Japan,Hockey,54,28,34,116
ABE Junya,Japan,Volleyball,54,28,34,116
ABE Katsuhiko,Japan,Basketball,54,28,34,116
ARNAU CREUS Xavier,Japan,Hockey,54,28,34,116
CASAREZ Mary Lucy,Japan,Baseball/Softball,54,28,34,116
KIRKELY Ulrik,Japan,Handball,54,28,34,116
KANEKO Makoto,Japan,Baseball/Softball,54,28,34,116
KAWASE Asaki,Japan,Football,54,28,34,116
KAZAMA Takafumi,Japan,Football,54,28,34,116
HIROSE Norikazu,Japan,Football,54,28,34,116
IMURA Masayo,Japan,Artistic Swimming,54,28,34,116
IWABUCHI Kensuke,Japan,Rugby Sevens,54,28,34,116
KITABAYASHI Kenji,Japan,Handball,54,28,34,116
HOVASSE Thomas Wayne,Japan,Basketball,54,28,34,116
LAMAS Julio,Japan,Basketball,54,28,34,116
MAEDA Kenzo,Japan,Basketball,54,28,34,116
MAKIRI Hare,Japan,Rugby Sevens,54,28,34,116
NAKADA Kumi,Japan,Volleyball,54,28,34,116
NAKAGAICHI Yuichi,Japan,Volleyball,54,28,34,116
NISHIDA Takumi,Japan,Rugby Sevens,54,28,34,116
OMOTO Yoji,Japan,Water Polo,54,28,34,116
MORIYASU Hajime,Japan,Football,54,28,34,116
MOTOMIYA Makihiro,Japan,Water Polo,54,28,34,116
NAGAE Shoji,Japan,Volleyball,54,28,34,116
MIURA Keiko,Japan,Hockey,54,28,34,116
MIYAKAWA Miya,Japan,Artistic Swimming,54,28,34,116
MATSUNO Yoshiyuki,Japan,Basketball,54,28,34,116
MATSUODANI Yasushi,Japan,Football,54,28,34,116
SIGURDSSON Dagur,Japan,Handball,54,28,34,116
UTSUGI Reika,Japan,Baseball/Softball,54,28,34,116
TAKAKURA Asako,Japan,Football,54,28,34,116
TAKITA Risako,Japan,Artistic Swimming,54,28,34,116
YAMAJI Noriko,Japan,Baseball/Softball,54,28,34,116
MAYBURY Elena,United States,Football,39,41,33,113
ANDONOVSKI Vlatko,United States,Football,39,41,33,113
FUENTES Andrea,United States,Artistic Swimming,39,41,33,113
HARVEY Laura,United States,Football,39,41,33,113
SZAUDER Gabor,Canada,Artistic Swimming,28,24,44,96
STANIFORTH Dave,Australia,Hockey,34,14,44,92
RILLIE John,Australia,Basketball,34,14,44,92
WALSH Tim,Australia,Rugby Sevens,34,14,44,92
GUSTAVSSON Tony,Australia,Football,34,14,44,92
GOORJIAN Brian,Australia,Basketball,34,14,44,92
FATOVIC Elvis,Australia,Water Polo,34,14,44,92
DYKSTRA Trisha,Australia,Basketball,34,14,44,92
BATCH Colin,Australia,Hockey,34,14,44,92
ARNOLD Graham,Australia,Football,34,14,44,92
