Discipline,Total_Athletes,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Medals
Athletics,2068,1737990,1653349,1815576,5206915
Swimming,743,611371,579939,630944,1822254
Rowing,496,541731,516437,557163,1615331
Football,567,497599,421201,488608,1407408
Hockey,406,382604,324566,398495,1105665
Rugby Sevens,283,377654,315437,342197,1035288
Shooting,342,316623,297087,315826,929536
Fencing,249,305939,299458,308333,913730
Water Polo,269,309726,278594,305714,894034
Volleyball,274,294605,284704,294003,873312
Basketball,280,303838,262295,295388,861521
Baseball/Softball,220,299593,246969,294751,841313
Sailing,336,273473,256096,283333,812902
Cycling Track,208,218481,205861,249961,674303
Handball,342,212214,215269,220420,647903
Equestrian,237,216816,202979,222101,641896
Judo,373,198317,194667,232643,625627
Canoe Sprint,235,200177,195379,220195,615751
Artistic Gymnastics,187,201697,199346,202765,603808
Wrestling,279,185772,190026,196300,572098
Tennis,178,164424,159627,180231,504282
Boxing,270,159867,161547,174671,496085
Diving,133,166467,152191,169029,487687
Badminton,164,154027,135653,141736,431416
Cycling Road,190,129401,125585,154258,409244
Weightlifting,187,124492,115257,125840,365589
Table Tennis,164,115292,107737,121278,344307
Archery,122,104579,102505,113748,320832
Beach Volleyball,90,103070,100013,107232,310315
Artistic Swimming,98,101531,94760,112010,308301
Rhythmic Gymnastics,95,101038,93851,108185,303074
Skateboarding,77,105570,92743,98763,297076
Triathlon,106,89332,86226,101774,277332
Golf,115,92524,86608,95104,274236
3x3 Basketball,62,88274,81681,74684,244639
Taekwondo,123,79105,72655,85780,237540
Cycling Mountain Bike,74,67095,69481,76227,212803
Karate,77,64745,59437,77226,201408
Canoe Slalom,78,64635,61010,69482,195127
Modern Pentathlon,69,64991,60889,68103,193983
Marathon Swimming,49,47493,47782,52351,147626
Sport Climbing,37,50797,46184,49579,146560
Cycling BMX Racing,43,46002,47217,50258,143477
Trampoline Gymnastics,31,49513,45008,43195,137716
Surfing,38,38861,33021,37859,109741
