Discipline,Country,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Medals
Athletics,United States of America,541164,568916,457908,1567988
Athletics,Great Britain,158268,151074,158268,467610
Baseball/Softball,United States of America,147069,154611,124443,426123
Athletics,People's Republic of China,183996,154944,87156,426096
Swimming,United States of America,143676,151044,121572,416292
Rowing,United States of America,130104,136776,110088,376968
Athletics,Japan,171882,89124,108222,369228
Athletics,Germany,88440,97284,141504,327228
Athletics,Australia,109820,45220,142120,297160
Athletics,Italy,68940,68940,137880,275760
Basketball,United States of America,87945,92455,74415,254815
Rugby Sevens,United States of America,87906,92414,74382,254702
Water Polo,United States of America,86229,90651,72963,249843
Rowing,Great Britain,82940,79170,82940,245050
Fencing,United States of America,81159,85321,68673,235153
Volleyball,United States of America,81042,85198,68574,234814
Athletics,France,65030,78036,71533,214599
Football,Japan,98253,50946,61863,211062
Hockey,Great Britain,71434,68187,71434,211055
Rowing,People's Republic of China,88806,74784,42066,205656
Swimming,People's Republic of China,88616,74624,41976,205216
Football,United States of America,69420,72980,58740,201140
Baseball/Softball,Japan,91206,47292,57426,195924
Shooting,United States of America,67587,71053,57189,195829
Swimming,ROC,52840,73976,60766,187582
Football,Australia,69275,28525,89650,187450
Shooting,People's Republic of China,80370,67680,38070,186120
Rugby Sevens,Japan,77193,40026,48603,165822
Hockey,Japan,77166,40012,48586,165764
Rowing,Australia,59687,24577,77242,161506
Football,People's Republic of China,67298,56672,31878,155848
Swimming,Great Britain,52360,49980,52360,154700
Hockey,Australia,56712,23352,73392,153456
Athletics,Netherlands,41960,50352,58744,151056
Rugby Sevens,Great Britain,48664,46452,48664,143780
Handball,Japan,66609,34538,41939,143086
Hockey,People's Republic of China,60914,51296,28854,141064
Volleyball,ROC,39060,54684,44919,138663
Sailing,United States of America,47346,49774,40062,137182
Wrestling,United States of America,47268,49692,39996,136956
Fencing,ROC,38160,53424,43884,135468
Swimming,Australia,47872,19712,61952,129536
Swimming,Japan,59697,30954,37587,128238
Athletics,Canada,37324,31992,58652,127968
Football,Great Britain,42812,40866,42812,126490
Water Polo,Japan,57294,29708,36074,123076
Shooting,ROC,34660,48524,39859,123043
Artistic Gymnastics,United States of America,42237,44403,35739,122379
Basketball,Japan,56133,29106,35343,120582
Badminton,People's Republic of China,51072,43008,24192,118272
Fencing,People's Republic of China,50920,42880,24120,117920
Swimming,Italy,29080,29080,58160,116320
Hockey,Netherlands,32060,38472,44884,115416
Volleyball,Japan,52596,27272,33116,112984
Skateboarding,United States of America,38805,40795,32835,112435
Rowing,Netherlands,31140,37368,43596,112104
Canoe Sprint,People's Republic of China,47576,40064,22536,110176
Athletics,Brazil,36701,31458,41944,110103
Water Polo,Australia,40528,16688,52448,109664
Hockey,Germany,29450,32395,47120,108965
Equestrian,United States of America,37167,39073,31449,107689
Diving,United States of America,35490,37310,30030,102830
Tennis,United States of America,35490,37310,30030,102830
Fencing,Japan,47817,24794,30107,102718
Wrestling,ROC,28560,39984,32844,101388
Rugby Sevens,Australia,36873,15183,47718,99774
Canoe Sprint,ROC,27720,38808,31878,98406
Basketball,Australia,36125,14875,46750,97750
Water Polo,People's Republic of China,41078,34592,19458,95128
Athletics,Spain,16527,44072,33054,93653
