Discipline,Total_Athletes,Total_Countries,Total_Medals
Athletics,2068,91,5206915
Swimming,743,91,1822254
Football,567,21,1407408
Rowing,496,61,1615331
Hockey,406,14,1105665
Judo,373,70,625627
Shooting,342,72,929536
Handball,342,16,647903
Sailing,336,47,812902
Rugby Sevens,283,16,1035288
Basketball,280,18,861521
Wrestling,279,52,572098
Volleyball,274,18,873312
Boxing,270,57,496085
Water Polo,269,15,894034
Fencing,249,36,913730
Equestrian,237,46,641896
Canoe Sprint,235,43,615751
Baseball/Softball,220,9,841313
Cycling Track,208,34,674303
Cycling Road,190,54,409244
Artistic Gymnastics,187,50,603808
Weightlifting,187,53,365589
Tennis,178,42,504282
Badminton,164,38,431416
Table Tennis,164,46,344307
Diving,133,29,487687
Taekwondo,123,47,237540
Archery,122,43,320832
Golf,115,38,274236
Triathlon,106,36,277332
Artistic Swimming,98,21,308301
Rhythmic Gymnastics,95,19,303074
Beach Volleyball,90,22,310315
Canoe Slalom,78,31,195127
Skateboarding,77,23,297076
Karate,77,33,201408
Cycling Mountain Bike,74,34,212803
Modern Pentathlon,69,28,193983
3x3 Basketball,62,13,244639
Marathon Swimming,49,27,147626
Cycling BMX Racing,43,21,143477
Surfing,38,15,109741
Sport Climbing,37,19,146560
Trampoline Gymnastics,31,15,137716
