Country,Total_Athletes,Total_Coaches,Total_Participants
United States of America,614,28,642
Japan,585,35,620
Australia,470,21,491
People's Republic of China,398,11,409
Germany,399,9,408
France,377,10,387
Canada,368,15,383
Great Britain,366,7,373
Italy,354,12,366
Spain,324,26,350
ROC,318,12,330
Brazil,291,7,298
Netherlands,272,10,282
Republic of Korea,222,7,229
New Zealand,202,8,210
Poland,195,3,198
Argentina,180,10,190
South Africa,171,12,183
Mexico,155,7,162
Hungary,154,4,158
Ukraine,152,4,156
Egypt,133,10,143
Sweden,129,3,132
Belgium,124,5,129
India,117,5,122
Ireland,116,3,119
Czech Republic,117,2,119
Switzerland,115,0,115
Belarus,104,1,105
Denmark,103,2,105
Turkey,102,1,103
Romania,99,2,101
Norway,92,3,95
Kazakhstan,92,2,94
Serbia,83,5,88
Israel,85,2,87
Portugal,85,1,86
Kenya,78,5,83
Greece,75,4,79
Austria,72,3,75
Cuba,69,0,69
Nigeria,59,9,68
Islamic Republic of Iran,66,2,68
Chinese Taipei,67,0,67
Dominican Republic,61,6,67
Colombia,64,2,66
Uzbekistan,63,0,63
Chile,56,6,62
Jamaica,60,0,60
Croatia,57,1,58
Tunisia,57,1,58
Slovenia,51,3,54
Venezuela,43,10,53
Morocco,48,0,48
Ecuador,46,0,46
Finland,45,0,45
Mongolia,43,0,43
Ethiopia,42,0,42
Bulgaria,41,0,41
Azerbaijan,41,0,41
Algeria,41,0,41
"Hong Kong, China",40,0,40
Slovakia,38,1,39
Thailand,39,0,39
Puerto Rico,35,3,38
Lithuania,37,0,37
Montenegro,35,2,37
Georgia,35,0,35
Saudi Arabia,32,2,34
Côte d'Ivoire,29,5,34
Peru,33,0,33
Estonia,33,0,33
Bahrain,30,1,31
Trinidad and Tobago,31,0,31
Zambia,29,2,31
Fiji,28,2,30
Malaysia,29,0,29
Latvia,29,0,29
Refugee Olympic Team,26,0,26
Indonesia,26,0,26
Honduras,25,1,26
Uganda,24,0,24
Singapore,23,0,23
Guatemala,22,0,22
Angola,20,1,21
Republic of Moldova,19,0,19
Philippines,18,0,18
Vietnam,17,0,17
Kyrgyzstan,16,0,16
Armenia,16,0,16
Bahamas,16,0,16
Qatar,14,0,14
Cyprus,14,0,14
Ghana,14,0,14
Eritrea,13,0,13
Costa Rica,13,0,13
Botswana,13,0,13
Uruguay,11,0,11
Namibia,11,0,11
Cameroon,11,0,11
Jordan,11,0,11
Luxembourg,11,0,11
Pakistan,10,0,10
Kuwait,10,0,10
Kosovo,10,0,10
Senegal,9,0,9
Sri Lanka,9,0,9
Panama,9,0,9
Paraguay,8,0,8
Tajikistan,8,0,8
Turkmenistan,8,0,8
Mozambique,8,0,8
Samoa,8,0,8
Nicaragua,8,0,8
North Macedonia,8,0,8
Albania,8,0,8
Mauritius,7,0,7
Bosnia and Herzegovina,7,0,7
Democratic Republic of the Congo,7,0,7
Burkina Faso,7,0,7
Barbados,7,0,7
Guyana,7,0,7
Benin,7,0,7
Papua New Guinea,7,0,7
Niger,7,0,7
Bangladesh,6,0,6
Cook Islands,6,0,6
Grenada,6,0,6
Haiti,6,0,6
San Marino,4,2,6
Madagascar,6,0,6
Monaco,6,0,6
Antigua and Barbuda,6,0,6
Burundi,6,0,6
Cape Verde,6,0,6
Malta,6,0,6
Lebanon,6,0,6
Syrian Arab Republic,6,0,6
Liechtenstein,5,1,6
American Samoa,5,0,5
Sudan,5,0,5
Zimbabwe,5,0,5
Tonga,5,0,5
Afghanistan,5,0,5
Rwanda,5,0,5
Cayman Islands,5,0,5
Bolivia,5,0,5
Malawi,5,0,5
El Salvador,5,0,5
Gabon,5,0,5
Guinea,5,0,5
Oman,5,0,5
Saint Lucia,5,0,5
Nepal,5,0,5
Seychelles,5,0,5
Guam,5,0,5
Djibouti,4,0,4
Cambodia,3,1,4
Palestine,4,0,4
Iceland,4,0,4
Lao People's Democratic Republic,4,0,4
Eswatini,4,0,4
"Virgin Islands, US",4,0,4
Mali,4,0,4
Guinea-Bissau,4,0,4
Togo,4,0,4
Libya,4,0,4
Maldives,4,0,4
United Arab Emirates,4,0,4
Sierra Leone,4,0,4
Iraq,4,0,4
Chad,3,0,3
Solomon Islands,3,0,3
Belize,3,0,3
Equatorial Guinea,3,0,3
Kiribati,3,0,3
Suriname,3,0,3
Palau,3,0,3
Gambia,3,0,3
Liberia,3,0,3
Democratic Republic of Timor-Leste,3,0,3
Sao Tome and Principe,3,0,3
"Virgin Islands, British",3,0,3
Aruba,3,0,3
Comoros,3,0,3
Federated States of Micronesia,3,0,3
Congo,3,0,3
Yemen,3,0,3
Bhutan,3,0,3
Somalia,2,0,2
Lesotho,2,0,2
Mauritania,2,0,2
Vanuatu,2,0,2
Marshall Islands,2,0,2
Saint Kitts and Nevis,2,0,2
Andorra,2,0,2
Bermuda,2,0,2
Nauru,2,0,2
South Sudan,2,0,2
Central African Republic,2,0,2
United Republic of Tanzania,2,0,2
St Vincent and the Grenadines,2,0,2
Dominica,2,0,2
Tuvalu,2,0,2
Brunei Darussalam,2,0,2
