Discipline,Total_Female_Participants,Total_Male_Participants,Total_Participants
Athletics,969,1072,2041
Swimming,361,418,779
Football,264,344,608
Rowing,257,265,522
Hockey,192,192,384
Judo,192,201,393
Shooting,178,178,356
Sailing,175,175,350
Handball,168,168,336
Rugby Sevens,146,151,297
Basketball,144,144,288
Volleyball,144,144,288
Canoe Sprint,123,126,249
Water Polo,122,146,268
Fencing,107,108,215
Artistic Swimming,105,0,105
Boxing,102,187,289
Artistic Gymnastics,98,98,196
Weightlifting,98,99,197
Wrestling,96,193,289
Rhythmic Gymnastics,96,0,96
Tennis,94,97,191
Cycling Track,90,99,189
Baseball/Softball,90,144,234
Badminton,86,87,173
Table Tennis,86,86,172
Equestrian,73,125,198
Diving,72,71,143
Cycling Road,70,131,201
Taekwondo,65,65,130
Archery,64,64,128
Golf,60,60,120
Triathlon,55,55,110
Beach Volleyball,48,48,96
Canoe Slalom,41,41,82
Karate,40,42,82
Skateboarding,40,40,80
Cycling Mountain Bike,38,38,76
Modern Pentathlon,36,36,72
3x3 Basketball,32,32,64
Marathon Swimming,25,25,50
Cycling BMX Racing,24,24,48
Sport Climbing,20,20,40
Surfing,20,20,40
Trampoline Gymnastics,16,16,32
